GEOID20,Tot_2020_sen,D_2020_sen,R_2020_sen,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres
0228232-860,502,294,172,515,307,173,326,186,107,339,53,155,343,162,136
0218540-032,256,83,142,258,116,117,150,83,60,181,21,108,185,114,50
0218540-040,234,38,165,240,66,167,181,96,54,190,4,106,196,68,88
0218540-030,132,57,44,128,69,45,91,62,16,130,15,62,131,43,33
0218540-010,1038,345,585,1056,508,504,886,510,301,978,99,584,1012,473,388
0218540-008,423,157,233,427,218,192,399,235,133,398,40,230,411,205,146
0215032-830,2491,805,1555,2526,814,1588,1923,864,952,2181,170,1008,2275,654,1323
0215032-825,1301,579,659,1338,603,686,842,368,417,1079,124,500,1104,502,475
0215032-820,1166,496,600,1172,472,649,956,500,402,1121,148,498,1163,456,575
0215032-810,1000,382,587,1014,398,584,613,279,302,785,63,357,818,229,483
0210033-545,2211,1278,875,2239,1334,846,1290,674,549,1427,199,564,1437,651,573
0210535-775,107,94,11,99,82,15,88,66,19,99,22,28,94,38,37
0215032-815,37,7,22,37,10,19,58,23,29,44,5,25,47,12,29
0215032-835,95,49,37,99,53,34,90,65,11,76,5,56,71,39,20
0219835-745,256,74,171,260,73,178,113,36,72,150,31,71,152,41,84
0219835-780,419,71,325,427,79,346,251,52,190,274,18,115,286,30,221
0219836-675,212,158,28,222,188,28,145,100,23,131,36,54,135,100,21
0219835-730,483,289,142,532,370,138,299,209,62,293,41,159,290,130,107
0219535-730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0219835-760,46,26,17,46,25,19,33,17,11,43,11,19,43,15,25
0219835-735,59,29,19,65,29,28,32,9,17,34,4,15,30,6,11
0210535-720,663,353,256,703,418,265,475,213,234,485,77,218,486,206,206
0215032-845,118,37,67,125,48,68,81,36,41,88,5,43,93,22,63
0219835-705,916,408,443,900,366,512,536,222,270,651,105,317,669,211,369
0219835-740,843,429,343,876,447,412,457,201,215,457,56,250,470,178,222
0212230-240,895,227,628,905,245,627,727,193,497,888,55,372,901,196,587
0212230-210,2150,465,1599,2173,479,1607,1686,425,1179,1793,83,768,1825,345,1317
0212231-340,1300,315,919,1298,294,947,931,238,643,947,50,338,964,160,691
0212232-847,346,187,150,351,188,155,247,142,96,246,33,82,254,104,125
0212229-190,1509,297,1162,1520,299,1188,1170,255,878,1314,55,436,1354,190,1062
0212230-220,1886,518,1253,1941,562,1312,1466,427,962,1597,126,615,1633,380,1070
0206332-850,40,17,17,41,20,15,33,18,8,34,2,25,36,18,6
0212229-170,891,426,425,924,496,403,913,501,355,1022,162,461,1017,457,413
0212231-320,634,229,384,622,199,404,336,147,164,342,56,95,347,110,208
0211033-530,918,597,293,925,618,291,1032,732,273,1072,263,435,1102,708,264
0210533-530,6,4,2,6,4,2,9,7,2,8,2,3,8,5,2
0211033-510,1012,686,306,1051,725,265,1119,787,282,1134,265,460,1161,760,280
0212229-110,343,201,133,343,198,128,211,100,99,224,21,89,228,79,120
0210533-555,155,137,4,160,143,11,73,54,17,77,14,52,78,58,8
0210535-700,446,308,87,493,411,67,266,167,74,284,54,153,285,185,43
0219535-700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0212229-150,1678,343,1237,1704,351,1304,1314,247,999,1389,68,454,1441,213,1101
0212230-250,2527,692,1717,2542,694,1747,2197,628,1490,2474,164,1001,2521,493,1736
0228232-850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0206332-805,812,429,340,812,393,378,972,642,278,1002,104,547,1017,390,452
0206309-660,865,289,534,892,309,547,589,257,284,652,79,225,682,195,400
0206609-632,377,84,280,370,63,294,273,68,192,305,34,112,310,44,231
0211033-515,980,783,174,935,714,184,1433,1205,187,1518,386,430,1568,1218,225
0211034-450,1444,740,651,1426,718,639,1399,704,639,1399,196,640,1442,611,633
0211033-500,1488,1122,323,1524,1157,321,1345,1014,276,1281,301,481,1308,879,277
0211034-460,2396,1137,1143,2429,1231,1108,1909,916,901,1963,273,946,1993,850,872
0211034-420,1124,627,478,1121,641,456,1085,686,375,1062,210,423,1082,620,347
0201637-704,36,16,20,34,18,15,32,13,13,39,9,26,38,21,13
0201637-752,199,91,76,208,179,24,144,109,24,158,9,114,160,120,20
0216437-728,88,43,32,86,51,15,98,63,23,77,4,52,79,31,15
0212232-855,83,68,12,92,88,2,65,58,5,67,11,37,72,51,4
0218840-020,142,31,79,130,42,71,84,33,35,141,19,77,142,72,26
0218840-024,791,373,344,789,470,280,843,475,313,871,80,493,899,450,291
0216437-708,30,8,19,34,13,18,40,22,12,33,1,23,31,10,17
0216437-742,64,45,15,64,46,17,54,27,26,49,3,31,51,9,29
0216437-716,17,3,10,17,0,17,22,11,10,13,0,9,13,1,9
0216437-726,131,47,77,133,52,74,153,73,71,133,6,88,141,53,65
0216437-738,74,55,12,74,62,7,90,65,15,98,7,54,98,63,12
0218840-018,116,34,68,121,74,43,117,54,59,136,20,79,138,74,40
0206806-040,589,202,357,615,223,363,507,196,292,556,56,277,583,161,330
0206806-026,152,139,13,156,141,11,153,131,17,156,36,35,152,128,17
0218840-014,73,34,33,78,41,33,62,45,13,56,6,30,53,37,4
0222035-770,2003,1095,825,2004,1081,857,1999,1203,695,2173,411,946,2198,1135,817
0229037-306,139,33,95,139,46,90,111,41,68,128,9,66,127,41,69
0229037-308,68,36,27,62,43,12,53,35,13,59,11,35,55,28,17
0202023-740,1204,620,542,1206,631,552,897,440,415,1006,152,412,1026,425,466
