GEOID10,Tot_2008_pres,Dem_2008_pres,Rep_2008_pres,Tot_2016_ag,Dem_2016_ag,Rep_2016_ag,Tot_2016_pres,Dem_2016_pres,Rep_2016_pres,Tot_2016_sen,Dem_2016_sen,Rep_2016_sen,Tot_2016_gov,Dem_2016_gov,Rep_2016_gov
410019501001,520,130,379,0,0,0,0,0,0,0,0,0,0,0,0
410019501002,546,155,379,0,0,0,0,0,0,0,0,0,0,0,0
410019501003,683,206,460,0,0,0,0,0,0,0,0,0,0,0,0
410019502001,524,166,346,0,0,0,0,0,0,0,0,0,0,0,0
410019502002,578,203,357,0,0,0,0,0,0,0,0,0,0,0,0
410019502003,479,172,288,0,0,0,0,0,0,0,0,0,0,0,0
410019503001,450,146,293,0,0,0,0,0,0,0,0,0,0,0,0
410019503002,631,188,430,0,0,0,0,0,0,0,0,0,0,0,0
410019503003,276,119,143,0,0,0,0,0,0,0,0,0,0,0,0
410019504001,677,225,436,0,0,0,0,0,0,0,0,0,0,0,0
410019504002,336,118,209,0,0,0,0,0,0,0,0,0,0,0,0
410019504003,464,156,298,0,0,0,0,0,0,0,0,0,0,0,0
410019505001,908,280,600,0,0,0,0,0,0,0,0,0,0,0,0
410019505002,395,145,236,0,0,0,0,0,0,0,0,0,0,0,0
410019506001,306,116,183,0,0,0,0,0,0,0,0,0,0,0,0
410019506002,342,133,205,0,0,0,0,0,0,0,0,0,0,0,0
410019506003,575,147,408,0,0,0,0,0,0,0,0,0,0,0,0
410030001001,638,466,153,0,0,0,0,0,0,0,0,0,0,0,0
410030001002,651,455,178,0,0,0,0,0,0,0,0,0,0,0,0
410030001003,689,474,195,0,0,0,0,0,0,0,0,0,0,0,0
410030001004,1494,1007,447,0,0,0,0,0,0,0,0,0,0,0,0
410030002021,838,536,288,0,0,0,0,0,0,0,0,0,0,0,0
410030002022,2310,1520,750,0,0,0,0,0,0,0,0,0,0,0,0
410030004001,1295,929,346,0,0,0,0,0,0,0,0,0,0,0,0
410030004002,1857,1325,505,0,0,0,0,0,0,0,0,0,0,0,0
410030004003,1126,824,283,0,0,0,0,0,0,0,0,0,0,0,0
410030004004,686,494,181,0,0,0,0,0,0,0,0,0,0,0,0
410030005001,431,284,138,0,0,0,0,0,0,0,0,0,0,0,0
410030005002,942,589,333,0,0,0,0,0,0,0,0,0,0,0,0
410030005003,655,390,254,0,0,0,0,0,0,0,0,0,0,0,0
410030006001,871,581,271,0,0,0,0,0,0,0,0,0,0,0,0
410030006002,657,400,245,0,0,0,0,0,0,0,0,0,0,0,0
410030006003,985,648,317,0,0,0,0,0,0,0,0,0,0,0,0
410030009001,483,354,119,0,0,0,0,0,0,0,0,0,0,0,0
410030009002,320,261,52,0,0,0,0,0,0,0,0,0,0,0,0
410030009003,1317,962,332,0,0,0,0,0,0,0,0,0,0,0,0
410030009004,680,480,187,0,0,0,0,0,0,0,0,0,0,0,0
410030009005,519,377,133,0,0,0,0,0,0,0,0,0,0,0,0
410030010011,564,384,167,0,0,0,0,0,0,0,0,0,0,0,0
410030010012,612,460,137,0,0,0,0,0,0,0,0,0,0,0,0
410030010013,727,523,190,0,0,0,0,0,0,0,0,0,0,0,0
410030010021,503,370,121,0,0,0,0,0,0,0,0,0,0,0,0
410030010022,667,506,145,0,0,0,0,0,0,0,0,0,0,0,0
410030010023,390,287,94,0,0,0,0,0,0,0,0,0,0,0,0
410030011011,382,312,60,0,0,0,0,0,0,0,0,0,0,0,0
410030011012,537,446,78,0,0,0,0,0,0,0,0,0,0,0,0
410030011013,412,321,81,0,0,0,0,0,0,0,0,0,0,0,0
410030011014,256,191,60,0,0,0,0,0,0,0,0,0,0,0,0
410030011021,401,333,58,0,0,0,0,0,0,0,0,0,0,0,0
410030011022,621,505,100,0,0,0,0,0,0,0,0,0,0,0,0
410030011023,464,385,67,0,0,0,0,0,0,0,0,0,0,0,0
410030011024,491,385,94,0,0,0,0,0,0,0,0,0,0,0,0
410030101001,545,254,285,0,0,0,0,0,0,0,0,0,0,0,0
410030101002,1195,547,629,0,0,0,0,0,0,0,0,0,0,0,0
410030101003,1464,683,759,0,0,0,0,0,0,0,0,0,0,0,0
410030101004,1031,438,578,0,0,0,0,0,0,0,0,0,0,0,0
410030101005,1046,489,541,0,0,0,0,0,0,0,0,0,0,0,0
410030102001,1215,676,504,0,0,0,0,0,0,0,0,0,0,0,0
410030102002,734,418,298,0,0,0,0,0,0,0,0,0,0,0,0
410030102003,647,348,281,0,0,0,0,0,0,0,0,0,0,0,0
410030103001,876,485,371,0,0,0,0,0,0,0,0,0,0,0,0
410030103002,605,309,275,0,0,0,0,0,0,0,0,0,0,0,0
410030103003,540,253,262,0,0,0,0,0,0,0,0,0,0,0,0
410030104001,439,250,182,0,0,0,0,0,0,0,0,0,0,0,0
410030104002,440,208,219,0,0,0,0,0,0,0,0,0,0,0,0
410030104003,1167,545,583,0,0,0,0,0,0,0,0,0,0,0,0
410030106001,594,480,98,0,0,0,0,0,0,0,0,0,0,0,0
410030106002,468,368,89,0,0,0,0,0,0,0,0,0,0,0,0
410030106003,544,413,119,0,0,0,0,0,0,0,0,0,0,0,0
410030106004,572,435,128,0,0,0,0,0,0,0,0,0,0,0,0
410030107021,354,270,79,0,0,0,0,0,0,0,0,0,0,0,0
410030107022,506,385,113,0,0,0,0,0,0,0,0,0,0,0,0
410030107023,427,305,116,0,0,0,0,0,0,0,0,0,0,0,0
410030108001,322,175,139,0,0,0,0,0,0,0,0,0,0,0,0
410030108002,465,252,201,0,0,0,0,0,0,0,0,0,0,0,0
410030108003,768,415,333,0,0,0,0,0,0,0,0,0,0,0,0
410030109001,1330,789,511,0,0,0,0,0,0,0,0,0,0,0,0
410030109002,1379,947,412,0,0,0,0,0,0,0,0,0,0,0,0
410050201001,1430,908,510,0,0,0,0,0,0,0,0,0,0,0,0
410050201002,674,445,220,0,0,0,0,0,0,0,0,0,0,0,0
410050201003,512,327,179,0,0,0,0,0,0,0,0,0,0,0,0
410050202001,701,441,249,0,0,0,0,0,0,0,0,0,0,0,0
410050202002,866,556,298,0,0,0,0,0,0,0,0,0,0,0,0
410050202003,530,348,176,0,0,0,0,0,0,0,0,0,0,0,0
410050202004,1132,725,392,0,0,0,0,0,0,0,0,0,0,0,0
410050202005,737,497,231,0,0,0,0,0,0,0,0,0,0,0,0
410050203021,565,348,209,0,0,0,0,0,0,0,0,0,0,0,0
410050203022,1528,947,553,0,0,0,0,0,0,0,0,0,0,0,0
410050203031,968,665,288,0,0,0,0,0,0,0,0,0,0,0,0
410050203032,724,465,251,0,0,0,0,0,0,0,0,0,0,0,0
410050203033,1421,894,513,0,0,0,0,0,0,0,0,0,0,0,0
410050203041,1175,699,463,0,0,0,0,0,0,0,0,0,0,0,0
410050203042,710,469,235,0,0,0,0,0,0,0,0,0,0,0,0
410050203043,1002,646,349,0,0,0,0,0,0,0,0,0,0,0,0
410050204011,731,449,274,0,0,0,0,0,0,0,0,0,0,0,0
410050204012,464,285,174,0,0,0,0,0,0,0,0,0,0,0,0
410050204013,861,562,289,0,0,0,0,0,0,0,0,0,0,0,0
410050204014,1094,694,386,0,0,0,0,0,0,0,0,0,0,0,0
410050204031,1624,979,625,0,0,0,0,0,0,0,0,0,0,0,0
410050204032,761,447,304,0,0,0,0,0,0,0,0,0,0,0,0
410050204041,1341,806,524,0,0,0,0,0,0,0,0,0,0,0,0
410050204042,1120,660,452,0,0,0,0,0,0,0,0,0,0,0,0
410050205011,496,273,215,0,0,0,0,0,0,0,0,0,0,0,0
410050205012,1805,991,794,0,0,0,0,0,0,0,0,0,0,0,0
410050205013,1428,813,598,0,0,0,0,0,0,0,0,0,0,0,0
410050205031,860,533,315,0,0,0,0,0,0,0,0,0,0,0,0
410050205032,652,402,241,0,0,0,0,0,0,0,0,0,0,0,0
410050205041,670,395,267,0,0,0,0,0,0,0,0,0,0,0,0
410050205042,1790,1108,660,0,0,0,0,0,0,0,0,0,0,0,0
410050205043,1841,1082,739,0,0,0,0,0,0,0,0,0,0,0,0
