GEOID20,Tot_2016_sen,D_2016_sen,R_2016_sen,Tot_2016_pres,D_2016_pres,R_2016_pres,Tot_2020_pres,D_2020_pres,R_2020_pres,Tot_2018_ltg,D_2018_ltg,R_2018_ltg,Tot_2018_ag,D_2018_ag,R_2018_ag,Tot_2018_gov,D_2018_gov,R_2018_gov,Tot_2018_sen,D_2018_sen,R_2018_sen
32001000016,413,137,236,416,128,243,490,199,270,360,136,190,360,117,210,362,108,230,363,119,220
32001000009,403,77,297,403,86,281,485,119,348,376,89,249,374,56,274,374,66,278,376,66,284
32001000014,541,91,401,544,88,415,621,100,500,487,82,356,486,64,386,488,69,382,488,77,392
32019000005,89,16,66,90,16,68,45,15,28,36,10,24,35,9,22,36,10,22,36,5,22
32001000010,793,136,607,794,138,595,931,174,738,748,146,534,749,114,581,752,121,587,753,131,588
32001000017,908,171,647,911,148,688,1112,231,858,799,182,538,795,132,583,798,143,577,799,148,580
32019000006,1081,246,743,1092,259,773,1310,318,966,1056,278,714,1053,203,785,1053,205,758,1054,226,766
32019000001,541,141,338,548,131,375,669,170,482,499,132,328,497,109,350,500,105,340,501,112,351
32019000008,309,52,243,312,56,248,346,68,269,283,51,217,282,36,235,284,38,235,285,41,237
32019000014,773,210,505,779,199,532,1675,472,1171,1193,362,738,1192,272,826,1198,304,825,1200,328,825
32019000013,1916,514,1233,1933,505,1281,1527,406,1088,978,286,617,974,234,669,984,258,663,982,255,680
32510000109,1172,470,622,1183,483,607,1564,702,824,1266,563,647,1262,460,715,1264,521,678,1268,519,697
32510000307,1557,699,685,1574,716,689,1885,933,874,1301,650,536,1303,575,600,1303,618,592,1304,606,607
32001000019,516,99,381,516,93,391,641,117,504,473,103,336,473,78,353,474,82,360,475,85,361
32001015-09,2,0,2,2,0,2,3,0,3,2,0,2,2,0,2,2,0,2,2,0,2
32001000006,458,114,314,461,101,317,511,129,363,381,102,260,380,85,276,382,83,275,381,90,275
32019000023,643,163,409,652,160,451,816,230,554,550,172,339,553,130,381,556,134,379,558,146,377
32019000015,758,258,432,759,243,448,898,318,556,572,224,300,568,199,327,574,204,328,574,213,338
32019000040,678,202,403,687,199,440,789,233,523,526,153,329,520,122,353,529,132,353,527,145,344
32019000038,830,224,533,834,221,553,1034,274,714,685,191,447,686,162,469,684,179,467,686,174,472
32019000039,977,254,657,986,246,677,1148,320,803,798,221,536,797,175,573,803,200,567,801,199,562
32019000037,486,134,310,489,136,312,897,260,610,482,139,317,482,120,320,484,128,331,485,141,322
32510000409,1058,475,504,1063,465,480,1232,607,585,997,504,426,997,439,477,1000,486,468,1001,473,488
32001000002,613,157,391,620,186,370,793,267,497,523,187,298,522,158,326,526,156,330,524,178,315
32015000009,78,15,55,79,15,59,90,24,61,71,20,46,69,16,46,71,18,48,71,23,47
32015000002,472,101,309,478,107,328,550,145,390,395,103,242,394,94,249,397,85,266,397,92,268
32015000005,541,88,381,542,86,413,710,120,569,514,97,364,513,80,383,512,69,385,515,75,388
32015000006,86,4,77,86,6,70,75,8,63,59,5,49,59,4,53,58,4,52,57,4,52
32015000004,583,79,451,593,68,490,638,70,556,507,70,382,506,62,403,508,51,413,506,57,424
32011000003,128,12,103,129,7,114,159,16,138,115,14,86,115,10,97,117,11,94,117,14,98
32005000017,1202,298,847,1212,290,848,1404,377,999,1115,279,780,1118,229,828,1121,242,832,1119,253,821
32005000014,719,156,528,723,150,526,897,219,656,681,169,474,682,139,505,691,159,509,690,167,509
32005000002,1148,300,784,1160,297,774,1392,406,951,1041,279,702,1042,237,755,1048,250,746,1052,273,737
32005000012,117,65,30,117,70,26,142,97,40,81,61,15,82,59,15,82,60,16,82,59,16
32019000022,282,61,191,284,59,206,346,82,258,263,79,163,262,65,181,265,64,185,265,69,188
32015000003,137,25,92,137,25,107,169,36,133,142,33,86,141,23,102,143,28,102,144,29,106
32015000001,381,81,261,382,79,270,415,77,326,311,74,199,312,51,227,311,43,241,312,54,234
32031008238,973,292,656,975,328,583,1141,408,711,949,310,593,952,290,630,956,329,606,957,322,618
32031004045,530,253,205,537,272,195,614,345,243,463,270,151,462,236,171,465,266,166,466,274,162
32031004016,985,492,385,996,504,364,1339,746,544,809,458,283,809,422,323,814,441,312,815,465,303
32031004038,464,231,189,470,241,190,569,312,236,396,218,158,394,194,172,396,213,166,398,215,166
32031004033,921,455,416,929,469,386,1091,617,456,831,470,319,829,402,370,835,457,350,836,468,348
32013000003,558,157,325,564,161,336,607,161,429,459,144,272,460,108,308,463,107,326,464,126,307
32013000010,109,42,53,109,43,48,116,65,48,80,51,26,80,39,27,81,36,28,81,39,30
32013000011,199,20,174,200,18,171,242,18,220,205,25,154,202,16,169,205,16,175,205,18,184
32031003038,843,393,411,849,407,360,1821,876,891,904,454,402,901,405,450,915,460,427,915,458,435
32031008217,845,328,489,847,305,492,904,381,495,778,340,411,777,286,450,784,322,432,784,323,434
32005000007,721,255,436,729,265,414,856,340,489,642,259,337,644,198,399,650,225,398,653,239,385
32005000003,905,318,511,920,323,522,1142,461,650,861,356,437,861,319,472,868,337,479,866,336,483
32005000005,738,180,525,741,184,498,923,288,614,736,215,486,739,174,536,740,195,520,742,206,518
32031007567,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
32031007514,370,188,128,373,183,155,438,233,192,280,150,108,283,129,126,283,130,119,283,146,113
32031008202,1166,435,687,1177,437,649,1250,522,705,1075,460,570,1075,366,647,1080,434,614,1075,422,617
32031008254,1100,441,603,1108,439,587,1183,515,630,1000,436,518,998,383,552,1007,423,545,1005,423,548
32031002068,838,347,447,848,356,390,1045,505,506,798,382,372,796,320,422,803,380,393,803,381,391
32031008297,629,241,339,634,243,341,754,301,426,554,241,280,564,206,312,567,233,304,566,241,302
32031005041,541,266,242,545,267,235,630,327,289,486,256,208,483,222,227,490,245,221,490,249,221
32031008236,1119,377,694,1125,404,625,1336,590,707,1033,394,597,1034,353,643,1041,379,642,1041,385,646
32031006523,0,0,0,0,0,0,256,115,130,0,0,0,0,0,0,0,0,0,0,0,0
32031001003,1129,737,321,1139,742,309,1324,882,396,1040,720,263,1037,659,312,1050,711,295,1048,717,292
32031001002,667,351,235,679,370,240,833,501,308,577,340,191,580,323,203,581,337,202,581,353,201
32027000006,386,69,279,387,64,305,484,80,398,344,80,224,344,55,258,345,54,265,346,62,270
32027000007,176,28,129,175,27,139,228,52,171,181,57,112,182,32,139,182,36,135,183,37,139
32027000001,666,146,450,671,139,483,757,162,585,589,151,377,588,95,429,590,108,444,590,125,443
32031003009,950,606,240,965,598,248,1239,913,286,856,625,170,860,591,187,863,617,185,870,635,182
32031002018,987,500,385,996,492,424,1187,649,496,840,478,300,841,420,344,849,450,350,853,467,342
32031007304,329,171,109,334,176,130,397,218,162,252,139,93,250,117,102,251,132,102,253,141,96
32031007526,820,341,425,826,337,424,1086,484,580,730,332,359,731,286,396,736,313,393,735,322,390
32031005031,859,306,519,861,329,469,966,420,533,791,335,441,792,285,472,798,325,450,798,333,457
32031005010,616,413,152,623,416,127,671,493,145,486,352,101,484,331,115,491,351,111,493,366,104
32013000004,563,174,316,574,178,356,698,222,449,420,159,215,420,131,243,421,121,269,421,125,252
320130007-2,759,124,577,762,126,595,926,124,783,617,124,451,620,85,494,620,78,504,620,87,500
32031009532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031006530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031007553,43,12,29,43,10,26,57,19,36,36,10,21,36,9,25,37,8,28,37,10,27
32005000031,611,217,362,616,212,371,712,267,429,585,219,338,586,189,370,588,197,369,588,209,358
32005000013,751,275,407,755,283,407,1281,496,748,877,352,476,878,300,527,882,313,526,880,332,513
32005000006,1291,440,763,1303,457,741,1328,494,789,997,374,550,993,325,600,997,337,604,1001,363,605
32005000021,945,235,660,955,237,671,1144,289,830,912,270,600,907,207,640,914,231,646,915,239,647
32005000024,370,81,259,370,82,273,482,110,360,385,92,273,386,68,290,390,80,289,389,83,290
32005000010,867,231,552,872,213,589,1132,306,793,855,228,559,852,187,592,855,206,573,852,215,573
32005000035,379,96,272,383,111,247,455,155,286,361,103,244,361,99,248,364,99,253,363,102,251
32005000023,733,257,438,736,264,428,956,371,556,736,295,411,734,258,427,737,287,423,737,292,424
32005000034,403,131,243,406,134,237,494,167,310,390,137,230,390,122,245,394,130,242,395,134,246
32031006513,667,339,261,669,342,250,726,383,313,543,331,171,545,280,212,550,318,193,553,332,193
32031003024,913,472,373,918,485,363,1058,598,435,758,421,283,761,374,319,768,391,332,765,412,314
32031003018,696,497,137,709,519,147,813,589,206,569,427,104,574,406,126,580,424,119,583,438,124
32031003023,374,229,96,375,240,108,430,290,125,301,211,76,301,196,82,303,203,73,303,210,74
32031005047,2,0,2,2,0,2,63,28,33,0,0,0,0,0,0,0,0,0,0,0,0
32031007400,3,0,3,3,0,3,6,2,4,4,0,4,4,0,4,4,0,4,4,0,4
32029000003,15,1,13,15,1,14,22,2,20,15,2,13,15,1,13,15,3,12,15,2,13
32031006500,1184,545,576,1200,541,568,1603,733,822,1233,613,558,1231,505,640,1240,586,606,1240,597,598
32031007321,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
32031006311,708,347,309,713,352,306,748,400,322,595,322,241,594,280,267,598,292,269,596,305,267
32013000008,86,7,74,85,6,75,104,10,94,88,14,66,86,9,71,88,9,71,88,10,74
32013000012,147,17,125,149,12,132,163,24,137,127,22,98,125,15,100,127,10,115,127,11,112
32013000013,200,33,143,201,28,146,235,36,192,190,45,123,189,40,132,191,35,125,191,35,133
32031001050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32013000009,130,16,98,133,15,111,162,29,126,118,18,84,116,18,90,118,15,85,118,14,92
32013000001,557,152,348,562,147,371,740,186,536,508,163,299,507,119,345,506,123,342,508,140,334
32013000005,861,183,637,863,192,586,1043,242,772,798,216,531,796,152,594,802,165,600,804,168,608
32031001024,1251,577,621,1270,592,562,1322,722,565,1144,602,494,1145,514,562,1151,598,509,1154,583,543
32031008256,526,210,280,530,190,295,602,234,348,479,207,250,482,171,282,484,187,264,485,191,274
32001000012,294,51,214,294,52,216,361,83,267,226,43,172,226,42,169,226,32,181,227,43,176
32001012-01,1,0,1,1,0,1,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1
32001000013,430,60,349,431,52,355,483,68,396,374,69,269,377,41,316,378,43,317,379,46,318
32510000101,849,342,410,859,354,419,1076,515,529,771,369,346,770,327,385,772,352,371,771,349,379
32001000018,1001,204,720,1003,208,738,1185,266,889,939,215,650,940,160,705,942,179,705,941,185,703
32033000030,178,26,134,181,22,142,177,26,150,146,28,109,143,24,109,145,25,109,146,22,117
32033000045,227,12,200,229,11,192,287,17,261,213,16,166,212,13,177,214,12,166,214,13,190
32033000040,154,32,105,153,25,117,184,37,142,127,29,86,126,22,88,128,17,95,129,24,94
32003003755,702,405,239,710,398,259,784,450,323,585,369,193,583,337,204,586,353,207,588,376,197
32003001677,862,413,371,881,417,403,988,461,507,713,372,292,715,363,308,717,374,304,717,368,307
32003002394,1311,813,398,1338,852,411,1810,1154,616,1142,763,330,1143,741,351,1151,759,335,1150,776,338
32003002725,483,67,386,486,71,387,542,69,465,421,69,295,421,57,328,425,52,275,422,55,336
32003003774,758,377,301,775,361,347,807,423,362,630,347,238,629,325,264,633,353,245,634,349,260
32003004616,883,759,54,906,829,53,1035,910,102,675,596,32,682,605,43,692,610,30,690,611,35
32003004612,1041,645,279,1053,677,294,1154,758,370,842,550,227,840,549,244,848,565,237,850,575,244
32003005384,485,329,109,504,349,132,579,390,178,365,245,100,367,242,108,371,256,94,377,267,93
32003006654,909,492,358,922,504,360,1096,600,467,770,449,272,773,443,282,777,457,282,779,472,273
32023000031,1181,298,737,1205,288,862,1378,340,1010,1039,261,693,1039,236,732,1044,243,716,1044,261,737
32023000035,352,39,282,357,33,298,374,19,350,232,24,163,232,15,189,232,16,191,232,14,207
32023000007,58,11,39,58,10,44,64,13,49,50,12,31,49,11,31,51,10,36,51,12,39
32023000005,16,5,5,16,11,3,19,13,6,8,7,1,8,6,1,7,3,1,8,7,1
32023000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32023000001,368,87,234,372,79,262,394,101,279,265,84,141,266,78,161,266,80,147,265,77,166
32027000003,353,110,209,353,97,227,404,129,265,321,123,173,320,86,208,322,86,205,321,91,208
32033000050,105,47,45,105,46,48,134,67,61,110,50,51,109,47,55,112,50,52,112,50,59
32033000010,352,77,221,359,77,255,423,94,324,292,79,184,294,75,191,294,60,204,291,76,189
32033000015,442,93,279,447,108,286,471,122,336,330,106,180,332,91,200,331,80,211,332,88,200
32033000020,438,87,313,440,92,316,514,99,409,373,106,222,374,87,258,377,85,257,375,85,264
32033000035,967,154,722,968,149,748,1135,173,935,814,136,600,807,115,627,818,107,657,818,120,650
32003002371,878,461,323,885,464,360,998,515,469,702,369,285,701,358,297,707,377,281,705,376,286
32003007532,708,432,205,716,450,216,839,491,323,556,352,164,557,346,177,560,349,179,560,360,173
32027000005,127,26,82,129,22,98,123,14,109,111,17,76,110,13,87,111,13,83,111,16,86
32023000010,572,171,313,580,166,364,648,201,434,464,154,251,466,151,279,467,138,264,466,153,274
32033000025,447,101,283,448,89,313,527,114,396,402,107,252,403,90,266,404,63,285,404,80,277
32023000009,1426,399,863,1449,390,994,1633,482,1120,1103,304,682,1101,278,738,1104,294,685,1110,307,728
32023000006,356,94,206,360,100,240,397,133,256,290,84,169,288,80,186,291,80,186,290,85,183
32023000032,1362,425,788,1377,406,901,1767,540,1183,1224,387,718,1226,347,793,1231,369,739,1232,376,765
32023000013,11,2,8,11,2,8,22,5,17,14,4,8,14,4,8,14,4,8,14,4,10
32031007525,1357,430,801,1372,393,863,1549,488,1019,1168,388,680,1171,329,753,1175,342,764,1174,365,756
32031004054,1,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
32031003010,834,545,225,844,550,230,1096,725,334,762,496,205,760,467,229,768,482,224,768,515,214
32031002022,475,179,260,481,192,248,496,209,275,432,183,232,437,154,257,436,175,242,437,180,240
32031006413,1119,393,643,1130,388,659,1392,537,817,1008,413,533,1011,326,622,1015,378,590,1014,377,590
32031009311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031006106,412,217,158,413,225,152,445,264,168,320,198,104,319,170,120,321,185,120,323,190,115
32031002029,549,236,279,548,249,253,606,310,278,495,262,214,494,226,244,496,261,217,497,253,229
32031008116,760,352,365,771,382,331,1015,567,423,684,337,311,686,315,339,688,332,323,689,343,326
32013000002,567,181,331,575,174,334,670,213,429,490,190,252,490,146,304,490,135,321,490,160,301
32031006501,1195,524,577,1201,511,567,1328,698,594,1030,519,445,1027,445,498,1035,497,478,1034,503,478
32031007418,1146,323,759,1151,305,782,1371,402,948,1088,328,688,1090,259,770,1094,294,758,1094,305,755
32031007415,1106,382,639,1113,351,679,1481,480,961,1016,402,554,1015,318,626,1019,367,601,1022,368,610
32031007408,505,132,354,512,119,360,726,181,535,533,146,364,532,116,391,536,129,394,537,137,390
32031009102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031004041,1005,469,419,1014,472,444,1139,568,522,766,404,294,775,380,324,777,412,318,777,414,318
32031007566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32031002080,813,345,419,821,342,411,998,485,488,712,338,337,710,303,366,713,336,345,712,341,341
32031008226,2,2,0,2,2,0,4,0,4,2,2,0,2,2,0,2,2,0,2,2,0
32031001059,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1
32031003007,846,549,231,855,571,233,1032,705,307,751,538,165,752,510,188,756,522,183,757,553,169
32031006526,443,238,157,446,226,171,499,274,208,353,191,128,354,177,143,354,183,145,358,197,141
32031006110,647,350,243,652,345,250,753,432,293,572,337,193,572,307,216,574,319,217,574,332,206
32031004000,567,371,141,573,386,139,718,475,215,489,335,116,488,315,121,495,327,130,494,349,126
32031003013,6,1,5,6,1,5,4,2,2,3,1,2,3,1,2,4,1,3,4,1,3
32031005056,891,521,322,900,530,312,1079,715,339,765,493,236,764,454,266,770,490,249,773,505,245
32017000005,35,5,26,35,4,29,36,1,35,32,4,26,32,4,26,32,4,26,32,4,24
32003004307,940,668,195,956,715,202,1103,825,259,725,535,149,723,531,156,727,527,155,724,543,145
32003002399,269,154,94,277,164,95,2329,1391,878,934,566,326,935,550,344,942,560,337,940,564,330
32003002446,1435,811,493,1452,852,498,1363,845,480,771,495,223,772,489,235,777,489,229,777,513,226
32003002456,946,538,326,969,574,339,1576,981,547,822,494,275,821,492,294,825,506,285,825,497,291
32003002449,1310,693,525,1328,731,509,1655,940,687,1165,671,426,1165,661,450,1169,662,448,1170,672,451
32003007366,576,280,213,594,302,245,2967,1514,1393,1068,591,424,1070,560,445,1076,575,426,1078,579,432
32003007571,623,321,230,638,329,249,779,400,349,502,280,188,501,262,194,504,280,188,505,293,182
32003007430,929,439,357,945,441,437,1289,627,631,747,359,309,750,345,351,751,346,320,748,373,335
32003007358,276,131,103,278,127,126,358,169,181,210,110,85,207,106,82,211,108,85,212,113,87
32003003709,1501,720,653,1522,753,669,2042,1069,916,1316,723,517,1315,694,541,1321,712,552,1322,733,528
32003003708,448,202,207,456,195,223,986,431,544,481,200,249,482,198,253,484,211,254,485,208,253
32003006467,491,249,205,498,259,214,383,160,216,543,293,219,544,288,232,549,304,228,552,312,226
32003006492,767,388,312,776,396,328,2679,1445,1178,841,451,336,837,440,353,847,466,349,845,479,343
32021000009,94,12,67,96,21,72,96,22,73,84,16,56,85,11,61,85,9,64,85,10,66
32003002417,205,106,81,216,110,85,218,132,76,111,76,29,111,76,29,112,77,29,112,73,32
32003002445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002745,13,8,5,13,6,6,16,6,10,7,2,4,7,1,5,7,2,4,7,3,3
32003004532,574,433,92,583,463,91,700,539,152,414,319,67,418,320,70,421,314,71,419,331,68
32003004523,587,443,92,600,463,94,652,476,162,420,329,66,418,331,68,419,319,71,423,340,67
32003004522,423,289,99,430,301,110,502,325,169,339,229,98,337,219,95,342,221,98,343,234,94
32003007661,549,301,198,559,305,213,689,404,272,463,266,167,463,254,175,465,264,168,463,272,163
32003007422,1292,632,535,1312,665,560,1457,776,644,1047,558,428,1045,544,449,1050,545,445,1051,556,437
32003007552,908,267,580,921,274,593,1001,353,624,871,284,516,863,272,533,873,300,535,873,312,528
32003003801,398,277,81,407,299,96,504,361,136,336,244,71,332,243,75,342,251,69,345,257,70
32003003795,558,367,136,565,380,157,689,447,225,452,299,113,451,296,125,455,300,121,457,319,115
32003006713,284,145,119,286,152,120,466,267,185,247,147,84,247,142,91,251,143,90,250,154,90
32003006531,1181,645,436,1208,690,442,2309,1274,989,1053,618,364,1054,611,379,1058,613,380,1060,621,382
32003003722,577,306,221,586,304,246,686,396,274,509,302,176,511,301,189,515,312,178,514,305,192
32003003855,1080,743,223,1088,781,248,1215,847,335,795,569,178,794,541,201,802,559,193,799,569,184
32003004508,508,448,24,522,473,28,574,496,65,418,378,22,421,384,23,426,378,25,423,386,17
32009000001,177,31,122,179,30,135,223,36,179,171,30,113,171,30,113,171,27,119,171,27,116
32009000002,47,2,42,48,3,42,47,4,42,35,4,28,35,3,29,35,2,27,35,1,31
32009000004,16,6,9,16,5,10,13,2,11,13,4,9,12,3,7,13,3,10,13,3,10
32003001384,263,127,121,265,130,116,3390,1614,1707,1083,534,498,1080,507,523,1083,534,511,1083,547,499
32003005565,802,519,211,820,531,232,935,612,293,646,425,178,648,418,190,652,432,182,656,447,177
32003007417,637,382,205,656,376,226,934,552,357,539,334,171,540,337,172,543,342,173,546,346,171
32007000037,57,6,41,58,4,52,83,11,71,63,9,50,63,9,52,64,9,51,63,9,54
32007000020,559,222,250,571,247,266,722,332,353,442,195,200,444,187,207,443,179,210,448,195,208
32007000036,112,20,88,112,18,84,123,22,97,99,17,74,98,17,78,99,14,80,98,16,77
32007000032,682,55,563,692,58,592,844,75,750,580,50,441,582,48,481,584,38,479,583,47,500
32007000033,104,13,86,105,14,84,120,18,101,92,9,71,93,13,77,93,10,76,93,10,79
32007000010,790,145,575,802,176,551,968,233,714,694,157,487,695,137,510,697,132,543,699,140,538
32007000029,104,69,23,108,76,25,132,98,29,87,63,14,85,63,14,86,56,19,87,57,20
32007000009,403,93,267,407,104,246,440,131,279,341,89,222,341,88,226,342,80,233,342,85,236
32023000002,43,1,38,43,1,41,55,5,50,43,3,35,43,3,39,44,3,39,44,2,38
32023000003,39,21,14,39,20,13,78,53,24,36,24,9,36,21,13,35,19,12,36,21,10
32023000011,1076,317,596,1084,339,691,1177,406,741,826,270,477,832,266,501,831,250,491,832,277,490
32023000018,44,17,20,46,16,26,44,14,29,36,19,13,35,18,16,36,19,16,36,18,17
32003006719,959,458,441,979,479,456,1614,792,790,916,468,402,916,445,424,921,455,424,922,485,403
32003001633,1020,640,282,1047,681,329,1254,826,405,735,476,223,739,474,235,747,483,235,743,485,230
32003004903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32021000007,72,16,47,72,18,48,89,17,69,66,19,40,66,17,44,65,13,49,66,15,45
32021000005,175,61,98,177,59,99,235,67,165,164,57,86,165,56,83,167,46,101,165,45,98
32021000001,320,81,221,323,77,214,350,108,227,316,97,174,316,78,204,317,74,216,314,73,217
32021000006,240,72,122,241,70,146,265,96,163,207,85,95,210,67,111,208,58,112,209,65,112
32003007675,695,287,367,714,296,373,793,342,439,609,276,293,610,264,307,614,273,307,612,283,298
32003002044,1164,477,575,1181,473,645,1564,685,848,1031,441,525,1028,398,576,1039,424,559,1037,433,558
32003003742,903,559,258,922,577,294,1079,672,383,699,450,201,698,435,219,703,430,217,699,455,202
32003004635,555,358,131,562,360,168,677,428,234,420,278,110,421,270,124,421,273,113,423,279,123
32003004507,993,784,119,1028,861,122,1228,982,219,837,679,99,841,682,105,840,680,103,843,693,109
32003004528,992,782,121,1033,848,136,1186,933,227,785,636,107,785,632,116,795,632,109,795,644,112
32003003724,831,427,339,850,444,348,973,551,406,691,393,254,690,363,290,696,378,275,695,391,274
32003002476,1181,133,1001,1191,115,1016,1434,136,1274,1052,128,836,1051,118,871,1056,115,844,1055,123,900
32003007684,637,327,249,649,333,279,753,412,320,563,319,220,561,307,228,563,321,219,563,329,214
32003004591,195,151,26,201,163,32,214,175,32,110,89,13,112,95,13,113,96,10,115,99,12
32003004510,440,300,82,450,315,110,585,385,183,286,211,53,290,209,60,291,203,62,292,215,60
32023000029,1097,308,634,1121,325,723,1453,446,968,976,302,584,974,290,605,980,283,598,977,293,604
32023000016,813,269,436,826,263,529,1279,421,834,765,262,424,758,234,459,765,239,437,766,265,439
32023000030,950,252,582,961,246,653,1180,337,814,868,241,558,866,218,590,868,230,577,868,239,589
32003005598,874,602,179,892,626,208,1029,701,305,685,497,156,690,484,160,695,508,156,695,526,146
32003002673,116,38,69,116,38,72,164,45,116,113,34,74,113,31,76,113,35,76,113,36,73
32003007663,1005,462,453,1024,498,464,1191,624,548,877,451,379,880,442,393,884,469,383,884,471,378
32003004597,859,699,85,874,764,67,1014,821,180,624,523,66,626,523,72,632,524,71,638,544,64
32003001353,1144,658,387,1164,700,397,2006,1193,767,1116,696,342,1113,684,360,1117,705,353,1118,723,337
32003001718,1342,554,730,1357,564,754,1438,644,782,1256,541,680,1245,508,706,1263,541,692,1264,563,680
32003002600,1117,456,567,1134,472,583,1274,537,705,972,427,500,970,403,516,980,423,519,982,424,526
32003003906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003002948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32003003546,1177,574,511,1192,596,504,2587,1271,1251,1426,737,604,1427,713,647,1433,748,624,1433,757,625
32003002671,1405,487,820,1425,477,860,1901,670,1198,1266,484,712,1270,462,739,1274,472,745,1275,488,732
32003007611,862,275,529,871,287,522,1101,419,666,765,293,442,764,273,451,770,296,444,770,298,452
32001000011,809,141,606,816,140,606,911,176,701,694,150,486,696,114,538,696,127,534,698,118,540
32017000233,441,101,290,445,86,322,508,95,396,375,91,232,372,75,264,371,79,253,372,85,264
32017000236,131,27,86,131,24,96,118,30,85,107,25,66,110,22,79,112,22,74,114,23,79
32017000003,452,35,380,453,32,374,525,45,470,449,46,325,450,38,371,454,34,363,452,35,394
32510000309,1331,423,845,1334,400,831,1491,503,939,1270,465,751,1267,348,861,1269,403,810,1269,404,831
32510000411,674,208,420,677,193,425,752,249,481,628,212,378,626,177,409,627,202,395,628,198,410
32023000027,758,206,441,770,200,516,907,261,625,670,173,404,671,158,443,674,163,422,672,174,433
32021000004,157,38,87,158,40,101,196,71,115,149,47,82,149,37,85,152,40,87,152,43,86
32003003723,628,267,315,638,260,342,1133,524,590,612,287,287,612,273,305,615,282,317,615,286,311
32003003371,589,320,229,602,338,245,705,412,275,518,303,187,519,298,202,523,312,198,523,311,197
32003002613,1020,460,460,1037,458,495,1267,617,624,818,406,357,821,391,375,825,412,367,824,411,376
32003007702,1007,519,386,1018,549,390,1221,695,495,865,473,341,866,470,345,872,488,333,873,491,334
32003005515,571,309,225,570,295,239,630,339,282,464,246,184,463,238,197,467,254,188,467,261,192
32003003465,781,343,383,792,351,405,927,445,468,716,335,350,718,312,376,721,334,364,719,343,354
32003001618,913,472,372,939,516,377,1255,756,485,761,448,274,763,443,281,769,461,270,769,461,285
32003005589,319,133,165,327,145,167,424,184,234,252,111,135,250,108,135,254,111,137,254,115,136
32003006710,1037,692,231,1070,761,274,1499,986,485,796,533,205,795,535,214,802,547,205,806,557,203
32003002729,437,297,103,442,313,94,701,477,209,392,276,93,392,267,98,395,270,98,396,280,94
32003004567,1169,910,149,1189,946,168,1287,986,277,825,671,108,838,682,117,839,681,103,840,706,105
32003004066,50,40,5,50,43,5,70,55,14,35,25,5,35,25,6,35,23,5,35,25,6
32003007570,650,297,273,661,284,308,765,353,396,501,251,212,505,234,237,502,250,224,502,252,227
32003006632,624,279,299,634,287,309,704,367,321,528,268,237,531,252,250,535,258,250,535,272,243
32021000011,301,176,87,302,192,76,373,239,109,257,167,60,255,155,66,257,162,70,258,167,66
32003005596,923,669,177,943,705,192,1062,750,291,644,461,130,645,455,143,652,457,136,653,474,139
32003002731,1479,520,841,1501,531,897,1841,716,1095,1375,523,761,1369,499,806,1378,482,738,1377,527,792
32003001617,762,428,263,791,459,286,1186,705,457,630,386,201,628,377,214,637,396,213,635,397,212
32003003768,778,397,318,791,424,329,965,506,441,680,370,279,680,352,292,683,369,287,681,369,282
32003005394,692,334,265,703,334,335,892,422,454,559,276,247,559,264,260,561,269,252,557,275,239
32003002393,1235,710,425,1260,700,468,1459,852,580,1029,599,369,1028,569,392,1035,575,382,1034,601,389
32003007631,1274,475,709,1291,525,680,1639,697,903,1162,489,621,1159,458,642,1168,511,623,1165,508,623
32003003365,719,303,383,723,338,355,800,412,377,555,247,290,555,232,309,557,262,282,558,252,297
32003007575,505,165,305,507,162,319,700,239,444,494,180,289,494,171,293,496,193,281,494,187,284
32003006686,638,395,182,662,412,220,780,453,316,509,330,148,513,319,162,514,326,160,515,338,155
32003004559,720,551,96,741,597,98,820,630,151,507,389,79,508,392,78,511,380,83,508,398,76
32003002663,831,237,543,837,227,559,982,278,684,759,243,484,754,221,500,762,240,496,760,238,505
32003003740,622,261,340,638,295,323,4547,2151,2317,1621,747,822,1622,697,865,1633,781,826,1638,770,830
